N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
81441106;PILE;ECM1;54   AVENUE RENE COTY;14;MIX;Z2 MIX 6H 5U;14J;2.4;"{""type"": ""Point"", ""coordinates"": [2.335347999560621, 48.82578799911404]}";48.8257879991,2.33534799956
81490802;SOLAIRE;ECA1;64   RUE RENNEQUIN;17;MIX;Z2 MIX 6H 5U;17G;2.4;"{""type"": ""Point"", ""coordinates"": [2.294761999928105, 48.88419199888176]}";48.8841919989,2.29476199993
82090302;SOLAIRE;ECA1;36   RUE RICHARD LENOIR;11;MIX;Z1 MIX 6H 5U;11K;4.0;"{""type"": ""Point"", ""coordinates"": [2.381514000119868, 48.85615099862527]}";48.8561509986,2.38151400012
82990502;SOLAIRE;ECA1;53   RUE RODIER;9;MIX;Z1 MIX 6H 5U;9F;4.0;"{""type"": ""Point"", ""coordinates"": [2.344020999873465, 48.88108399935699]}";48.8810839994,2.34402099987
83160201;SOLAIRE;ECA1;11   RUE DU ROI DE SICILE;4;MIX;Z1 MIX 6H 5U;4E;4.0;"{""type"": ""Point"", ""coordinates"": [2.35957599966421, 48.855834999064776]}";48.8558349991,2.35957599966
83250101;SOLAIRE;ECA1;7   RUE ROLI;14;MIX;Z2 MIX 6H 5U;14H;2.4;"{""type"": ""Point"", ""coordinates"": [2.342142999859408, 48.82043299919554]}";48.8204329992,2.34214299986
83450701;SOLAIRE;ECA1;62  vis-à-vis RUE DES RONDEAUX;20;MIX;Z2 MIX 6H 5U;20L;2.4;"{""type"": ""Point"", ""coordinates"": [2.396883999325248, 48.86374199926645]}";48.8637419993,2.39688399933
83582403;SOLAIRE;ECA1;177   RUE DE LA ROQUETTE;11;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.388172999878412, 48.85973699919819]}";48.8597369992,2.38817299988
83610201;SOLAIRE;ECA1;7   RUE ROSA BONHEUR;15;MIX;Z2 MIX 6H 5U;15G;2.4;"{""type"": ""Point"", ""coordinates"": [2.309770999323946, 48.84625999902612]}";48.846259999,2.30977099932
83820101;SOLAIRE;ECA1;1   RUE ROUBO;11;MIX;Z1 MIX 6H 5U;11K;4.0;"{""type"": ""Point"", ""coordinates"": [2.387242999411305, 48.84998199926371]}";48.8499819993,2.38724299941
