N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
860102;SOLAIRE;ECA1;4   RUE AFFRE;18;MIX;Z2 MIX 6H 5U;18H;2.4;"{""type"": ""Point"", ""coordinates"": [2.355879999907652, 48.8853659993365]}";48.8853659993,2.35587999991
1140103;SOLAIRE;ECA1;19   RUE ALBERT;13;MIX;Z2 MIX 6H 5U;13S;2.4;"{""type"": ""Point"", ""coordinates"": [2.37269200008126, 48.82464899875625]}";48.8246489988,2.37269200008
1590202;PILE;ECM1;20   RUE ALEXANDRE PARODI;10;MIX;Z1 MIX 6H 5U;10F;4.0;"{""type"": ""Point"", ""coordinates"": [2.36486200006054, 48.880193998850054]}";48.8801939989,2.36486200006
1700101;PILE;ECM1;3   RUE ALFRED BRUNEAU;16;MIX;Z2 MIX 6H 5U;16P;2.4;"{""type"": ""Point"", ""coordinates"": [2.277025999915, 48.85573899924004]}";48.8557389992,2.27702599992
1790104;SOLAIRE;ECA1;14   RUE ALFRED DE VIGNY;8;MIX;Z1 MIX 6H 5U;8G;4.0;"{""type"": ""Point"", ""coordinates"": [2.30519900016576, 48.87912299883724]}";48.8791229988,2.30519900017
2721302;SOLAIRE;ECA1;128   RUE AMELOT;11;MIX;Z1 MIX 6H 5U;11G;4.0;"{""type"": ""Point"", ""coordinates"": [2.366870000519894, 48.86419499943079]}";48.8641949994,2.36687000052
2970105;SOLAIRE;ECA1;21   RUE AMPERE;17;MIX;Z2 MIX 6H 5U;17L;2.4;"{""type"": ""Point"", ""coordinates"": [2.304283999963843, 48.88512499928627]}";48.8851249993,2.30428399996
3180201;SOLAIRE;ECA1;19   QUAI ANDRE CITROEN;15;MIX;Z2 MIX 6H 5U;15M;2.4;"{""type"": ""Point"", ""coordinates"": [2.280085999358402, 48.84782399936868]}";48.8478239994,2.28008599936
3180301;SOLAIRE;ECA1;39   QUAI ANDRE CITROEN;15;MIX;Z2 MIX 6H 5U;15N;2.4;"{""type"": ""Point"", ""coordinates"": [2.278910000372325, 48.846966999398056]}";48.8469669994,2.27891000037
3510202;SOLAIRE;ECA1;20   RUE D ANJOU;8;MIX;Z1 MIX 6H 5U;8H;4.0;"{""type"": ""Point"", ""coordinates"": [2.321632000075624, 48.87094799937763]}";48.8709479994,2.32163200008
3510404;SOLAIRE;ECA1;50   RUE D ANJOU;8;MIX;Z1 MIX 6H 5U;8H;4.0;"{""type"": ""Point"", ""coordinates"": [2.322353999626446, 48.87296099865641]}";48.8729609987,2.32235399963
4150302;PILE;ECM1;40   RUE ARCHEREAU;19;MIX;Z2 MIX 6H 5U;19G;2.4;"{""type"": ""Point"", ""coordinates"": [2.374021999493174, 48.89118099910442]}";48.8911809991,2.37402199949
4270401;PILE;ECM1;31   RUE DES ARDENNES;19;MIX;Z2 MIX 6H 5U;19K;2.4;"{""type"": ""Point"", ""coordinates"": [2.385535849502634, 48.889380799489366]}";48.8893807995,2.3855358495
4270501;SOLAIRE;ECA1;34  vis-à-vis RUE DES ARDENNES;19;MIX;Z2 MIX 6H 5U;19K;2.4;"{""type"": ""Point"", ""coordinates"": [2.384794000364545, 48.89039499929059]}";48.8903949993,2.38479400036
4310104;SOLAIRE;ECA1;6   RUE D ARGENSON;8;MIX;Z1 MIX 6H 5U;8J;4.0;"{""type"": ""Point"", ""coordinates"": [2.316920000161387, 48.874767999494665]}";48.8747679995,2.31692000016
4690106;PILE;ECM1;12  terre-plein vis-à-vis RUE DE L ARRIVEE;15;MIX;Z2 MIX 6H 5U;15H;2.4;"{""type"": ""Point"", ""coordinates"": [2.322241190139448, 48.84350285912846]}";48.8435028591,2.32224119014
4840101;SOLAIRE;ECA1;21   RUE DES ARTISTES;14;MIX;Z2 MIX 6H 5U;14J;2.4;"{""type"": ""Point"", ""coordinates"": [2.334717000250538, 48.826730998674265]}";48.8267309987,2.33471700025
4990302;SOLAIRE;ECA1;22   RUE D ASSAS;6;MIX;Z1 MIX 6H 5U;6E;4.0;"{""type"": ""Point"", ""coordinates"": [2.328989999515405, 48.8484779988297]}";48.8484779988,2.32898999952
5030104;PILE;ECA1;12   RUE DE L ASSOMPTION;16;MIX;Z2 MIX 6H 5U;16T;2.4;"{""type"": ""Point"", ""coordinates"": [2.274432000495719, 48.85333599880105]}";48.8533359988,2.2744320005
5030701;PILE;ECA1;75   RUE DE L ASSOMPTION;16;MIX;Z2 MIX 6H 5U;16S;2.4;"{""type"": ""Point"", ""coordinates"": [2.267011000367127, 48.85529499902929]}";48.855294999,2.26701100037
5090106;SOLAIRE;ECA1;16   RUE D ATHENES;9;MIX;Z1 MIX 6H 5U;9E;4.0;"{""type"": ""Point"", ""coordinates"": [2.328566999602579, 48.87808899917138]}";48.8780889992,2.3285669996
5510206;SOLAIRE;ECA1;17  vis-à-vis RUE AUGUSTE COMTE;6;MIX;Z1 MIX 6H 5U;6G;4.0;"{""type"": ""Point"", ""coordinates"": [2.334706999592314, 48.84445699869519]}";48.8444569987,2.33470699959
5800501;SOLAIRE;ECA1;13   BOULEVARD D AURELLE DE PALADINES;17;MIX;Z2 MIX 6H 5U;17F;2.4;"{""type"": ""Point"", ""coordinates"": [2.282334000133552, 48.882833998974945]}";48.882833999,2.28233400013
6560204;SOLAIRE;ECA1;16   RUE DU BANQUIER;13;MIX;Z2 MIX 6H 5U;13J;2.4;"{""type"": ""Point"", ""coordinates"": [2.356620999571204, 48.83580099911068]}";48.8358009991,2.35662099957
6740601;SOLAIRE;ECA1;51   RUE BARGUE;15;MIX;Z2 MIX 6H 5U;15J;2.4;"{""type"": ""Point"", ""coordinates"": [2.310067000250574, 48.83741899902498]}";48.837418999,2.31006700025
7130301;PILE;ECA1;24  vis-à-vis BOULEVARD DE LA BASTILLE;12;MIX;Z2 MIX 6H 5U;12E;2.4;"{""type"": ""Point"", ""coordinates"": [2.367998999827888, 48.849119998945135]}";48.8491199989,2.36799899983
7790202;SOLAIRE;ECA1;18   RUE BEAUJON;8;MIX;Z1 MIX 6H 5U;8G;4.0;"{""type"": ""Point"", ""coordinates"": [2.30063400028593, 48.87503699947608]}";48.8750369995,2.30063400029
7830302;SOLAIRE;ECA1;32   BOULEVARD BEAUMARCHAIS;11;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.368570000455007, 48.8562769993982]}";48.8562769994,2.36857000046
7830501;SOLAIRE;ECA1;73   BOULEVARD BEAUMARCHAIS;3;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.367752999693586, 48.85822399892275]}";48.8582239989,2.36775299969
7830902;SOLAIRE;ECA1;96   BOULEVARD BEAUMARCHAIS;11;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.367596000417632, 48.86032899887132]}";48.8603289989,2.36759600042
7940301;PILE;ECA1;15   BOULEVARD DE BEAUSEJOUR;16;MIX;Z2 MIX 6H 5U;16S;2.4;"{""type"": ""Point"", ""coordinates"": [2.271457000497134, 48.85769199891624]}";48.8576919989,2.2714570005
8320101;SOLAIRE;ECA1;3  terre-plein BOULEVARD DE BELLEVILLE;11;MIX;Z1 MIX 6H 5U;11E;4.0;"{""type"": ""Point"", ""coordinates"": [2.38201299992531, 48.86782899910306]}";48.8678289991,2.38201299993
8380105;SOLAIRE;ECA1;33   RUE BELLIARD;18;MIX;Z2 MIX 6H 5U;18M;2.4;"{""type"": ""Point"", ""coordinates"": [2.347924000047636, 48.897785998675616]}";48.8977859987,2.34792400005
8490201;SOLAIRE;ECA1;9   RUE DE BELLOY;16;MIX;Z2 MIX 6H 5U;16I;2.4;"{""type"": ""Point"", ""coordinates"": [2.292117999398313, 48.868720999078626]}";48.8687209991,2.2921179994
9000102;SOLAIRE;ECA1;4   RUE DE BERNE;8;MIX;Z1 MIX 6H 5U;8L;4.0;"{""type"": ""Point"", ""coordinates"": [2.323720999770358, 48.880437998678815]}";48.8804379987,2.32372099977
9040102;SOLAIRE;ECA1;4   RUE DE BERRI;8;MIX;Z1 MIX 6H 5U;8F;4.0;"{""type"": ""Point"", ""coordinates"": [2.303361999531659, 48.8719339994004]}";48.8719339994,2.30336199953
9040401;SOLAIRE;ECA1;47   RUE DE BERRI;8;MIX;Z1 MIX 6H 5U;8F;4.0;"{""type"": ""Point"", ""coordinates"": [2.307638000560816, 48.87443399884399]}";48.8744339988,2.30763800056
9300106;SOLAIRE;ECA1;52   RUE BERZELIUS;17;MIX;Z2 MIX 6H 5U;17S;2.4;"{""type"": ""Point"", ""coordinates"": [2.319634999536997, 48.89410299864566]}";48.8941029986,2.31963499954
10720102;SOLAIRE;ECA1;8   RUE BOIS LE VENT;16;MIX;Z2 MIX 6H 5U;16P;2.4;"{""type"": ""Point"", ""coordinates"": [2.276875999439033, 48.85766999861544]}";48.8576699986,2.27687599944
12630101;SOLAIRE;ECA1;15   RUE BREA;6;MIX;Z1 MIX 6H 5U;6F;4.0;"{""type"": ""Point"", ""coordinates"": [2.330128000504568, 48.84308699868237]}";48.8430869987,2.3301280005
12690104;SOLAIRE;ECA1;14   RUE BREMONTIER;17;MIX;Z2 MIX 6H 5U;17L;2.4;"{""type"": ""Point"", ""coordinates"": [2.303822999321791, 48.88488499924064]}";48.8848849992,2.30382299932
12770501;PILE;ECM1;55   AVENUE DE BRETEUIL;7;MIX;Z1 MIX 6H 5U;7N;4.0;"{""type"": ""Point"", ""coordinates"": [2.3122640006133333, 48.84853799923914]}";48.8485379992,2.31226400061
12771101;PILE;ECM1;78  vis-à-vis AVENUE DE BRETEUIL;15;MIX;Z2 MIX 6H 5U;15G;2.4;"{""type"": ""Point"", ""coordinates"": [2.311247000521401, 48.846717999207684]}";48.8467179992,2.31124700052
13690202;SOLAIRE;ECA1;12   RUE BUFFAULT;9;MIX;Z1 MIX 6H 5U;9G;4.0;"{""type"": ""Point"", ""coordinates"": [2.341966000243965, 48.875584999152856]}";48.8755849992,2.34196600024
14730108;SOLAIRE;ECA1;36   RUE DE CAMPO FORMIO;13;MIX;Z2 MIX 6H 5U;13K;2.4;"{""type"": ""Point"", ""coordinates"": [2.359241950366765, 48.83507542919402]}";48.8350754292,2.35924195037
15470102;SOLAIRE;ECA1;8   RUE CARDINAL MERCIER;9;MIX;Z1 MIX 6H 5U;9E;4.0;"{""type"": ""Point"", ""coordinates"": [2.3299300002029453, 48.8811369993189]}";48.8811369993,2.3299300002
16800402;PILE;ECM1;28   RUE DE CHAILLOT;16;MIX;Z2 MIX 6H 5U;16G;2.4;"{""type"": ""Point"", ""coordinates"": [2.29841999944064, 48.86810199902916]}";48.868101999,2.29841999944
17231801;PILE;ECM1;223   RUE CHAMPIONNET;18;MIX;Z2 MIX 6H 5U;18P;2.4;"{""type"": ""Point"", ""coordinates"": [2.328481000092987, 48.89316499923929]}";48.8931649992,2.32848100009
17620101;SOLAIRE;ECA1;9   RUE CHANZY;11;MIX;Z1 MIX 6H 5U;11K;4.0;"{""type"": ""Point"", ""coordinates"": [2.382787000559083, 48.85254499872277]}";48.8525449987,2.38278700056
17620203;SOLAIRE;ECA1;21   RUE CHANZY;11;MIX;Z1 MIX 6H 5U;11K;4.0;"{""type"": ""Point"", ""coordinates"": [2.384233999891065, 48.852656999268184]}";48.8526569993,2.38423399989
17650905;PILE;ECM1;100  terre-plein BOULEVARD DE LA CHAPELLE;10;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.352191000546105, 48.88386499910087]}";48.8838649991,2.35219100055
17691003;PILE;ECA1;69 bis vis-à-vis RUE DE LA CHAPELLE;18;MIX;Z2 MIX 6H 5U;18K;2.4;"{""type"": ""Point"", ""coordinates"": [2.358987999661594, 48.89638999926213]}";48.8963899993,2.35898799966
17760301;SOLAIRE;ECA1;21   RUE CHAPTAL;9;MIX;Z1 MIX 6H 5U;9E;4.0;"{""type"": ""Point"", ""coordinates"": [2.332571000260596, 48.88092999864653]}";48.8809299986,2.33257100026
17860302;SOLAIRE;ECA1;36   RUE CHARCOT;13;MIX;Z2 MIX 6H 5U;13R;2.4;"{""type"": ""Point"", ""coordinates"": [2.370130529613743, 48.83018015950218]}";48.8301801595,2.37013052961
18300301;SOLAIRE;ECA1;12  vis-à-vis PLACE CHARLES FILLION;17;MIX;Z2 MIX 6H 5U;17R;2.4;"{""type"": ""Point"", ""coordinates"": [2.316968999422107, 48.8876729991869]}";48.8876729992,2.31696899942
19181103;SOLAIRE;ECA1;139   RUE DU CHATEAU DES RENTIERS;13;MIX;Z2 MIX 6H 5U;13L;2.4;"{""type"": ""Point"", ""coordinates"": [2.364407999683797, 48.829278998775806]}";48.8292789988,2.36440799968
20150202;SOLAIRE;ECA1;22   AVENUE DE CHOISY;13;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.363766000460694, 48.82153799931016]}";48.8215379993,2.36376600046
21130601;SOLAIRE;ECA1;49   BOULEVARD DE CLICHY;9;MIX;Z1 MIX 6H 5U;9F;4.0;"{""type"": ""Point"", ""coordinates"": [2.333490000412793, 48.883334998936085]}";48.8833349989,2.33349000041
21130701;SOLAIRE;ECA1;71   BOULEVARD DE CLICHY;9;MIX;Z1 MIX 6H 5U;9E;4.0;"{""type"": ""Point"", ""coordinates"": [2.331483999794662, 48.88389499890238]}";48.8838949989,2.33148399979
21160101;SOLAIRE;ECA1;13   RUE DE CLICHY;9;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.330432999524008, 48.87735699903175]}";48.877356999,2.33043299952
21770101;PILE;ECM1;1   RUE COGNACQ JAY;7;MIX;Z1 MIX 6H 5U;7G;4.0;"{""type"": ""Point"", ""coordinates"": [2.304981999964646, 48.86164199946033]}";48.8616419995,2.30498199996
21850302;SOLAIRE;ECA1;44   RUE DU COLISEE;8;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.311395999721168, 48.87179899897331]}";48.871798999,2.31139599972
22170301;SOLAIRE;ECA1;53   RUE DE LA COLONIE;13;MIX;Z2 MIX 6H 5U;13F;2.4;"{""type"": ""Point"", ""coordinates"": [2.349200000191324, 48.82404199896908]}";48.824041999,2.34920000019
40405;SOLAIRE;ECA1;83   RUE DE L ABBE CARTON;14;MIX;Z2 MIX 6H 5U;14K;2.4;"{""type"": ""Point"", ""coordinates"": [2.320430999842413, 48.82789499876088]}";48.8278949988,2.32043099984
23871402;SOLAIRE;ECA1;104   RUE DE COURCELLES;17;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.302578420579678, 48.879822249408676]}";48.8798222494,2.30257842058
260101;SOLAIRE;ECA1;5   RUE ABEL FERRY;16;MIX;Z2 MIX 6H 5U;16Z;2.4;"{""type"": ""Point"", ""coordinates"": [2.260567999892169, 48.83638899910128]}";48.8363889991,2.26056799989
23870902;SOLAIRE;ECA1;52   RUE DE COURCELLES;8;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.307451000545563, 48.87687999877758]}";48.8768799988,2.30745100055
450401;SOLAIRE;ECA1;17   RUE DES ACACIAS;17;MIX;Z2 MIX 6H 5U;17E;2.4;"{""type"": ""Point"", ""coordinates"": [2.291229000225674, 48.87674499875642]}";48.8767449988,2.29122900023
23980202;SOLAIRE;ECA1;38   RUE DES COURONNES;20;MIX;Z2 MIX 6H 5U;20E;2.4;"{""type"": ""Point"", ""coordinates"": [2.3828980006027862, 48.86983999926881]}";48.8698399993,2.3828980006
690604;PILE;ECM1;104   BOULEVARD ADOLPHE PINARD;14;MIX;Z2 MIX 6H 5U;14E;2.4;"{""type"": ""Point"", ""coordinates"": [2.310055999733802, 48.82312599906428]}";48.8231259991,2.31005599973
24040301;SOLAIRE;ECA1;17   PASSAGE COURTOIS;11;MIX;Z1 MIX 6H 5U;11L;4.0;"{""type"": ""Point"", ""coordinates"": [2.387011999701244, 48.85730099940899]}";48.8573009994,2.3870119997
690608;PILE;ECM1;120   BOULEVARD ADOLPHE PINARD;14;MIX;Z2 MIX 6H 5U;14E;2.4;"{""type"": ""Point"", ""coordinates"": [2.311584999519288, 48.8228069989169]}";48.8228069989,2.31158499952
24340104;SOLAIRE;ECA1;10   RUE CRESPIN DU GAST;11;MIX;Z1 MIX 6H 5U;11F;4.0;"{""type"": ""Point"", ""coordinates"": [2.382037999534039, 48.86547099948454]}";48.8654709995,2.38203799953
1160201;SOLAIRE;ECA1;0   AVENUE ALBERT BARTHOLOME;15;MIX;Z2 MIX 6H 5U;15U;2.4;"{""type"": ""Point"", ""coordinates"": [2.293843000149002, 48.82907999865055]}";48.8290799987,2.29384300015
24432601;PILE;ECM1;247   RUE DE CRIMEE;19;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.372392000362208, 48.89464199935072]}";48.8946419994,2.37239200036
1550102;SOLAIRE;ECA1;8   RUE ALEXANDRE DUMAS;11;MIX;Z1 MIX 6H 5U;11L;4.0;"{""type"": ""Point"", ""coordinates"": [2.389554999776247, 48.852895999379896]}";48.8528959994,2.38955499978
24720605;PILE;ECM1;69   RUE CROZATIER;12;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.379328999429011, 48.84963799930229]}";48.8496379993,2.37932899943
1760102;SOLAIRE;ECA1;6   RUE ALFRED DEHODENCQ;16;MIX;Z2 MIX 6H 5U;16M;2.4;"{""type"": ""Point"", ""coordinates"": [2.271586999782822, 48.86116799881248]}";48.8611679988,2.27158699978
25230502;SOLAIRE;ECA1;24   RUE DES DAMES;17;MIX;Z2 MIX 6H 5U;17R;2.4;"{""type"": ""Point"", ""coordinates"": [2.324464000371185, 48.88462899917179]}";48.8846289992,2.32446400037
2000303;PILE;ECM1;19   RUE D ALIGRE;12;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.378607999736699, 48.8497389992817]}";48.8497389993,2.37860799974
25820102;SOLAIRE;ECA1;6   RUE DAUBIGNY;17;MIX;Z2 MIX 6H 5U;17K;2.4;"{""type"": ""Point"", ""coordinates"": [2.30906900029536, 48.88458999924848]}";48.8845899992,2.3090690003
2120801;SOLAIRE;ECA1;57   RUE D ALLERAY;15;MIX;Z2 MIX 6H 5U;15R;2.4;"{""type"": ""Point"", ""coordinates"": [2.305240999763921, 48.836631998757696]}";48.8366319988,2.30524099976
26580102;PILE;ECM1;6   SQUARE DELAMBRE;14;MIX;Z2 MIX 6H 5U;14N;2.4;"{""type"": ""Point"", ""coordinates"": [2.327284999983052, 48.841110999238886]}";48.8411109992,2.32728499998
2300102;SOLAIRE;ECA1;10   RUE ALPHONSE BAUDIN;11;MIX;Z1 MIX 6H 5U;11G;4.0;"{""type"": ""Point"", ""coordinates"": [2.370477000436373, 48.86083799924695]}";48.8608379992,2.37047700044
27450301;PILE;ECM1;7   RUE DESNOUETTES;15;MIX;Z2 MIX 6H 5U;15V;2.4;"{""type"": ""Point"", ""coordinates"": [2.292417999428315, 48.83602799904746]}";48.836027999,2.29241799943
2721501;SOLAIRE;ECA1;145   RUE AMELOT;11;MIX;Z1 MIX 6H 5U;11G;4.0;"{""type"": ""Point"", ""coordinates"": [2.366366000284402, 48.865191998954835]}";48.865191999,2.36636600028
27920901;SOLAIRE;ECA1;31 bis  BOULEVARD DIDEROT;12;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.376700999841273, 48.84627499931198]}";48.8462749993,2.37670099984
2790301;PILE;ECM1;53  contre-allée BOULEVARD DE L AMIRAL BRUIX;16;MIX;Z2 MIX 6H 5U;16E;2.4;"{""type"": ""Point"", ""coordinates"": [2.27767599984735, 48.873826998990026]}";48.873826999,2.27767599985
27921301;PILE;ECM1;47   BOULEVARD DIDEROT;12;MIX;Z2 MIX 6H 5U;12G;2.4;"{""type"": ""Point"", ""coordinates"": [2.380390999791431, 48.846695998667215]}";48.8466959987,2.38039099979
2890302;PILE;ECM1;30   RUE DE L AMIRAL MOUCHEZ;14;MIX;Z2 MIX 6H 5U;14H;2.4;"{""type"": ""Point"", ""coordinates"": [2.341393000024528, 48.824072999432964]}";48.8240729994,2.34139300002
28720101;PILE;ECM1;15   RUE DU DOCTEUR ROUX;15;MIX;Z2 MIX 6H 5U;15H;2.4;"{""type"": ""Point"", ""coordinates"": [2.312403999413478, 48.841234999418596]}";48.8412349994,2.31240399941
2970306;SOLAIRE;ECA1;70   RUE AMPERE;17;MIX;Z2 MIX 6H 5U;17L;2.4;"{""type"": ""Point"", ""coordinates"": [2.29925599991178, 48.88538299907817]}";48.8853829991,2.29925599991
28800303;SOLAIRE;ECA1;0   AVENUE DODE DE LA BRUNERIE;16;MIX;Z2 MIX 6H 5U;16Z;2.4;"{""type"": ""Point"", ""coordinates"": [2.256644000353696, 48.83621399890879]}";48.8362139989,2.25664400035
3240202;SOLAIRE;ECA1;0  vis-à-vis RUE ANDRE GIDE;15;MIX;Z2 MIX 6H 5U;15J;2.4;"{""type"": ""Point"", ""coordinates"": [2.312255869668085, 48.836622418733704]}";48.8366224187,2.31225586967
29420102;SOLAIRE;ECA1;8   PASSAGE DUBOIS;19;MIX;Z2 MIX 6H 5U;19H;2.4;"{""type"": ""Point"", ""coordinates"": [2.382781000441604, 48.8844129994841]}";48.8844129995,2.38278100044
3320101;PILE;ECA1;8  vis-à-vis BOULEVARD ANDRE MAUROIS;16;MIX;Z2 MIX 6H 5U;16E;2.4;"{""type"": ""Point"", ""coordinates"": [2.278168999622406, 48.87780799929906]}";48.8778079993,2.27816899962
30150204;SOLAIRE;ECA1;10   RUE CHARLES FRANCOIS DUPUIS;3;MIX;Z1 MIX 6H 5U;3E;4.0;"{""type"": ""Point"", ""coordinates"": [2.363681999651613, 48.86536199930786]}";48.8653619993,2.36368199965
4130101;SOLAIRE;ECA1;5   RUE DE L ARC DE TRIOMPHE;17;MIX;Z2 MIX 6H 5U;17E;2.4;"{""type"": ""Point"", ""coordinates"": [2.293761999584186, 48.87660399926518]}";48.8766039993,2.29376199958
30610202;SOLAIRE;ECA1;0   AVENUE DUTUIT;8;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.3157099994679, 48.865378999030945]}";48.865378999,2.31570999947
4510202;PILE;ECM1;20   RUE ARMAND CARREL;19;MIX;Z2 MIX 6H 5U;19H;2.4;"{""type"": ""Point"", ""coordinates"": [2.379526999719908, 48.88270799937769]}";48.8827079994,2.37952699972
31000102;SOLAIRE;ECA1;4 ter  PASSAGE DES ECOLIERS;15;MIX;Z2 MIX 6H 5U;15L;2.4;"{""type"": ""Point"", ""coordinates"": [2.291802999583773, 48.84483099889565]}";48.8448309989,2.29180299958
4990502;PILE;ECM1;58   RUE D ASSAS;6;MIX;Z1 MIX 6H 5U;6G;4.0;"{""type"": ""Point"", ""coordinates"": [2.33078600066883, 48.84641699890149]}";48.8464169989,2.33078600067
31830101;SOLAIRE;ECA1;9   RUE ELIE FAURE;12;MIX;Z2 MIX 6H 5U;12R;2.4;"{""type"": ""Point"", ""coordinates"": [2.415665999659829, 48.846004998932976]}";48.8460049989,2.41566599966
5030304;PILE;ECA1;48   RUE DE L ASSOMPTION;16;MIX;Z2 MIX 6H 5U;16T;2.4;"{""type"": ""Point"", ""coordinates"": [2.270441999881575, 48.85440699945055]}";48.8544069995,2.27044199988
32010601;SOLAIRE;ECA1;67   RUE EMERIAU;15;MIX;Z2 MIX 6H 5U;15M;2.4;"{""type"": ""Point"", ""coordinates"": [2.284445000573086, 48.847877999233525]}";48.8478779992,2.28444500057
6201101;PILE;ECM1;109   RUE DU BAC;7;MIX;Z1 MIX 6H 5U;7M;4.0;"{""type"": ""Point"", ""coordinates"": [2.323701000463252, 48.8524269994287]}";48.8524269994,2.32370100046
32460301;SOLAIRE;ECA1;32  vis-à-vis RUE EMILE LEVEL;17;MIX;Z2 MIX 6H 5U;17T;2.4;"{""type"": ""Point"", ""coordinates"": [2.318729999863509, 48.893889999071476]}";48.8938899991,2.31872999986
7360102;SOLAIRE;ECA1;11  vis-à-vis RUE BAUDRICOURT;13;MIX;Z2 MIX 6H 5U;13L;2.4;"{""type"": ""Point"", ""coordinates"": [2.364795670608322, 48.82816943944231]}";48.8281694394,2.36479567061
48900101;SOLAIRE;ECA1;29   RUE DE L ABBE GREGOIRE;6;MIX;Z1 MIX 6H 5U;6F;4.0;"{""type"": ""Point"", ""coordinates"": [2.325232179975443, 48.84784859872805]}";48.8478485987,2.32523217998
33050101;SOLAIRE;ECA1;9   RUE DES EPINETTES;17;MIX;Z2 MIX 6H 5U;17U;2.4;"{""type"": ""Point"", ""coordinates"": [2.321751999994642, 48.89449299947716]}";48.8944929995,2.32175199999
7360504;SOLAIRE;ECA1;62   RUE BAUDRICOURT;13;MIX;Z2 MIX 6H 5U;13M;2.4;"{""type"": ""Point"", ""coordinates"": [2.362806000335276, 48.825586999367204]}";48.8255869994,2.36280600034
170101;PILE;ECM1;5   AVENUE DE L ABBE ROUSSEL;16;MIX;Z2 MIX 6H 5U;16U;2.4;"{""type"": ""Point"", ""coordinates"": [2.271820999576247, 48.85028099907102]}";48.8502809991,2.27182099958
33200201;PILE;ECM1;15   RUE ERLANGER;16;MIX;Z2 MIX 6H 5U;16W;2.4;"{""type"": ""Point"", ""coordinates"": [2.261424999517522, 48.84662299870242]}";48.8466229987,2.26142499952
7490402;SOLAIRE;ECA1;22   RUE BAYEN;17;MIX;Z2 MIX 6H 5U;17H;2.4;"{""type"": ""Point"", ""coordinates"": [2.293972999899958, 48.880370998662734]}";48.8803709987,2.2939729999
1550601;SOLAIRE;ECA1;87   RUE ALEXANDRE DUMAS;20;MIX;Z2 MIX 6H 5U;20G;2.4;"{""type"": ""Point"", ""coordinates"": [2.399663000247298, 48.85541999892952]}";48.8554199989,2.39966300025
33240302;SOLAIRE;ECA1;26   RUE DE L ERMITAGE;20;MIX;Z2 MIX 6H 5U;20E;2.4;"{""type"": ""Point"", ""coordinates"": [2.391585000300814, 48.87056699936107]}";48.8705669994,2.3915850003
7850302;PILE;ECM1;20   RUE DE BEAUNE;7;MIX;Z1 MIX 6H 5U;7L;4.0;"{""type"": ""Point"", ""coordinates"": [2.329094000262121, 48.857733998740436]}";48.8577339987,2.32909400026
1850201;SOLAIRE;ECA1;9   RUE ALFRED ROLL;17;MIX;Z2 MIX 6H 5U;17N;2.4;"{""type"": ""Point"", ""coordinates"": [2.300069999742874, 48.88760499931386]}";48.8876049993,2.30006999974
33520102;PILE;ECM1;2   RUE ERNEST RENAN;15;MIX;Z2 MIX 6H 5U;15H;2.4;"{""type"": ""Point"", ""coordinates"": [2.309215999750096, 48.84428199909914]}";48.8442819991,2.30921599975
8300202;PILE;ECA1;44   RUE DES BELLES FEUILLES;16;MIX;Z2 MIX 6H 5U;16J;2.4;"{""type"": ""Point"", ""coordinates"": [2.280820000655002, 48.86819299907063]}";48.8681929991,2.28082000066
2580402;SOLAIRE;ECA1;48   RUE DES AMANDIERS;20;MIX;Z2 MIX 6H 5U;20F;2.4;"{""type"": ""Point"", ""coordinates"": [2.389901000198949, 48.8652609988889]}";48.8652609989,2.3899010002
34530402;SOLAIRE;ECA1;0   PLACE DE L EUROPE;8;MIX;Z1 MIX 6H 5U;8L;4.0;"{""type"": ""Point"", ""coordinates"": [2.32327700025258, 48.87922799936214]}";48.8792279994,2.32327700025
8350201;SOLAIRE;ECA1;11 ter  RUE DE BELLEVUE;19;MIX;Z2 MIX 6H 5U;19N;2.4;"{""type"": ""Point"", ""coordinates"": [2.393594000378088, 48.87943899874211]}";48.8794389987,2.39359400038
