Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
4101;Bastille - Beaumarchais;23;48.8538334639,2.36857026815
10163;Gare du Nord - Demarquay;30;48.881154,2.358411
8105;François 1er - Lincoln;31;48.8695179793,2.30242621884
11012;Montreuil - Voltaire;34;48.8505070118,2.39307555827
17005;Brochant - Clichy;53;48.8903299891,2.31973055993
21951;Place Centrale;22;48.7874016769,2.2278830409
44103;Pont De Charenton;18;48.8179685,2.4199531
16014;Eylau - Trocadéro;24;48.8633541224,2.28642091155
21203;Place Jules Ferry;28;48.8121079284,2.32583731413
15052;Convention - Vaugirard;48;48.8376768223,2.29558692602
13128;Quai de la Gare - Pont de Bercy;0;48.8373078797,2.37408612606
14010;Jean Moulin - Place Victor et Hélène Basch;41;48.8276491024,2.32619673014
43001;Paris - Laitières;22;48.8463027415,2.42075532675
22408;Place du 14 Juillet;22;48.8192669595,2.30119988322
22015;Île de la Jatte;23;48.8940361613,2.26663392037
18030;Joseph Dijon - Ornano;37;48.8937445335,2.3476678133
4010;Saint-Antoine Sévigné;26;48.8550222,2.3612322
20044;Davout - Volga;28;48.85291968,2.41052290978
15001;Gare Montparnasse - Arrivée;43;48.8438279943,2.32258111238
10038;Place du Colonel Fabien;27;48.8775683209,2.36987918615
14135;Jourdan - Cité Universitaire;39;48.8198973432,2.33970079641
41405;Place de l'Europe;24;48.7891370241,2.42848008871
13125;Gare d'Austerlitz - Pont Charles de Gaulle;55;48.8423198301,2.36703000963
2012;Choiseul - Quatre Septembre;44;48.8699355332,2.33599752188
4015;Mairie du 4ème;44;48.8559499105,2.35638231039
3007;Archives - Pastourelle;28;48.8623615,2.3595041
2022;Saint-Fiacre - Poissonière;35;48.8708289116,2.34592135996
5027;Gobelins - Port-Royal;40;48.8371359003,2.351520136
12119;Dom-Pérignon - Gravelle;50;48.8254815744,2.4098803103
48006;Maxime Gorki - Paul Vaillant-Couturier;20;48.796735088,2.36833423376
10003;Hauteville - Bonne Nouvelle;17;48.8707743602,2.34964963683
17117;Pereire - Saussure;32;48.8882290755,2.31012962759
11028;Guillaume Bertrand - République;38;48.8638251743,2.38090637715
17038;Grande Armée - Brunel;62;48.876116,2.288124
47007;Liberté - Vert-de-Maisons;20;48.7901478096,2.43286281824
8053;Place Georges Guillaumin;29;48.874750204,2.30177143533
1122;Pont-Neuf - Quai du Louvre;30;48.8582958983,2.34237145633
33017;Anatole France - President Roosevelt;29;48.9155156,2.3814103
41209;Cimetière;15;48.8470617336,2.47878223658
44006;Concorde - Stalingrad;35;48.7985844,2.3821302
19120;Carducci - Place Hannah Arendt;27;48.8774366815,2.38607436419
10024;Buisson Saint-Louis - Saint-Maur;19;48.8717468493,2.37225283288
15110;Place Robert Guillemard;24;48.8361917281,2.28112671601
14136;Auguste Cain - Jean Moulin;40;48.8257702893,2.32104152441
10014;Marseille - Beaurepaire;55;48.871624307,2.36392650827
46001;Place Paul Eluard;19;48.7672039733,2.41449773312
21301;Saint-Vincent - Verdun;34;48.8192115492,2.25400775671
12009;Charenton - Diderot;18;48.8461714612,2.37930681556
12027;Montgallet - Charenton;16;48.8426477787,2.38616492781
22505;Mairie de La Garenne Colombes;22;48.9066382347,2.24679596722
13045;Jean Colly - Tolbiac;36;48.8278172916,2.37054906785
7009;Assemblée Nationale;63;48.8614110147,2.32012141852
21109;Guichet - Jean Jaurès;28;48.9051698681,2.3023840785
8012;Batignolles - Place de Clichy;47;48.8834745358,2.32649311423
15038;Place Adolphe Cherioux - Vaugirard;63;48.839594428,2.30106577277
